album_id,album_name,album_desc,episode_updated,episode_total,genre,area,year,language,director,actor,score,copyright_start_time,copyright_end_time,definition
9628919,江湖奇侠1965,少年桂武（王羽）奉师下山，办理三件事，一到蟠龙谷甘家学艺，二找寻姑母，三为父母报仇。他到甘家后与甘女（秦萍）结婚，发现了甘父与劫镖有关，带甘家女儿出走。桂武凭机智武功，逐一闯关。,1,1,动作片;剧情片,香港,1965,普通话,徐增宏,王羽;秦萍;凌波;冯宝宝;高宝树,7.4,2020-03-27 00:00:00,2050-03-27 00:00:00,"21,2,1"
213,日瓦戈医生,幼年丧母的日瓦戈（Omar Sharif 饰）被过继给母亲的朋友，自此与继母一家的小女儿冬妮娅一同成长，并顺利修完医学专业，成为了一名优秀的医生。在另一条平行的生命线上，出生于裁缝之家的拉娜（Julie Christie 饰）正是十七岁的金色年华，母亲的情人维克多不时骚扰她，热衷于工人革命的未婚夫帕夏更让拉娜日日为其担忧。在工人运动风起云涌的日子里，日瓦戈目睹了当局对工人的残酷镇压，拉娜则因帕夏被卷入工人运动而遭到维克多的玷污，由于维克多的关系，日瓦戈与拉娜的人生终于汇合，在不久后混乱的一战中，他们终于不顾各自的伴侣陷入了热恋。,1,1,爱情片;战争片;剧情片,美国,1965,俄语,大卫·里恩,朱莉·克里斯蒂;奥玛·沙里夫;杰拉丁·卓别林,7.9,2020-01-12 00:00:00,2050-01-12 00:00:00,"32,31,21,2,1"
5068741,坦克大决战,描述二次世界大战期间盟军与德军的一场坦克大战，德军由希斯将军(罗伯特·萧 饰)率领，企图在圣诞前夕对盟军作全面反击，但计划功败垂成，被凯晨(亨利·方达 饰)将军发现，因而双方发生殊死战。,1,1,战争片;动作片;剧情片,美国,1966,英语,肯·安纳金,亨利·方达;罗伯特·肖;罗伯特·瑞安,7.4,2020-01-12 00:00:00,2050-01-12 00:00:00,"32,31,21,2,1"
9297312,青春大巴扎,学霸高逸繁和混混王放同时爱慕着青春阳光的哈娜，不善言辞的哈娜像许多好学生那样并没有明确表达过对高逸繁的感情。高逸繁的发小谷姗姗是个热爱舞蹈的姑娘。在她的提议下，众人都参与到了她的舞台剧排练当中，而一直爱慕王放的李思洁恳求谷姗姗也让其加入舞台剧的排练，王放为了接近哈娜亦跟大家一起勤奋排练起来。可惜好景不长，招惹到社会不良分子的王放在一次绑架事件中使得高逸繁不幸牺牲。十年后七人再聚首，又是怎样一番情形？,1,1,爱情片;喜剧片;青春片,内地,2017,普通话,邓德荣,凯撒;阿仁;张建;王一宸;严惜朵;阿祖;迪娜;闫亚哲,7.1,2017-02-24 00:00:00,2027-05-23 00:00:00,"32,31,21,2,1"
9297251,超能落榜生,一封出人意料的录取通知书，一所神秘莫测的美国学校，高考落榜生的暑假生活被彻底打破。平凡少年李云天，网络红人陆克，天才少女慕斯琪，三个看似毫不相关的人被命运之手带到美国。初踏异国他乡的土地，神秘短信引领着他们步步逼近，金发萝莉身藏异能，一次次将他们推进死亡之门。神秘学校到底是阴谋陷阱，还是璀璨前途？少年们唯有突破自己的超能界限，才能打开通往未来的大门找到真正的答案。,1,1,魔幻片,内地,2017,普通话,李杰文,孟可;周知韵;罗旖凡;杰西卡·特雷斯卡;许伟豪,6.1,2017-02-24 00:00:00,2022-02-23 00:00:00,"32,31,21,2,1"
9297321,飞行器中的好小伙,1910年，“飞行器”是那个时代风行一时的事物。然而正因为它刚刚诞生，一切还处于起步阶段。英国每日邮报主编劳德·罗恩斯策划组织了一场从伦敦飞往巴黎的竞赛。而这次竞赛的目的，就是为了彰显英国种族的优越。如果一切都按照预期发展，不出所料的，他的女婿理查德·梅斯将赢得比赛。竞赛的新闻一经发出，就得到了来自世界各地飞行器爱好者的踊跃报名。然而这场本该是冒险者的比赛，却成为了一场争夺帕特里夏·罗恩斯利感情的竞赛。 ,1,1,喜剧片;动作片,英国,1965,英语,肯·安纳金,莎拉·米尔斯;詹姆斯·福克斯;史都华·惠特曼,8.0,2020-02-16 00:00:00,2050-02-16 00:00:00,"32,31,21,2,1"
5078585,玛丽娅万岁,两个江湖女侠专门在拉丁美洲行侠仗义，打抱不平。其中玛丽娅是在拉美进行无政府主义革命运动的爱尔兰政客的女儿，她在父亲被杀后，在马戏团偶遇另一个也叫玛丽娅的女郎。她们结下深厚友谊并目睹拉美人民的贫困和肆虐的暴力，决定利用自己的聪明天赋来协助革命运动。,1,1,喜剧片,法国,1965,法语,路易·马勒,让娜·莫罗;碧姬·芭铎;乔治·汉密尔顿,7.2,2020-09-04 00:00:00,2050-09-03 00:00:00,"32,31,21,2,1"
9138011,海洋奇缘（英语版）,波里尼西亚人是居住在南太平洋小岛上的民族，有着自己独特的风土文化、宗教艺术。大约三千年前他们航行在广袤的南太平洋上，发现了大洋洲的很多岛屿，但一千年后他们突然中止了航行，直到今天也没有人搞明白其中的原因。本片的灵感就是从这开始的。 ,1,1,喜剧片;动画片;魔幻片,美国,2016,英语,约翰·马斯克;罗恩·克莱蒙兹;克里斯·威廉姆斯;唐·霍尔,道恩·强森;奥丽伊·卡瓦洛,7.6,2020-11-02 00:00:00,2021-10-31 00:00:00,"21,2,1"
9440608,绿野仙踪（1939）,小女孩多萝西·盖尔随叔叔、婶婶住在堪萨斯州中部的农场。某天，龙卷风袭来，多萝西没能及时躲藏。强大的龙卷风将多萝西藏身的小木屋卷入空中。不知经过多久，小木屋终于落到地面，而且把一个邪恶的女巫也给压死了。在善良的北方女巫的指点下，多萝西和小狗启程前往魔法师奥兹所居住的翡翠城，祈求他能帮助自己回家。路上，多萝西遇见了没有脑子的稻草人、缺少心脏的铁皮人以及胆小如鼠的狮子，为了实现各自的愿望，他们随多萝西一同前行。一路上经历千难万险，更有邪恶的西方女巫处处阻挠，他们的愿望最终能否实现呢？,1,1,动画片;歌舞片;魔幻片,美国,1939,英语,维克多·弗莱明,雷·博尔格;朱迪·加兰;弗兰克·摩根;伯特·拉尔;杰克·黑利,8.0,2020-08-13 00:00:00,2050-08-12 00:00:00,"32,31,21,2,1"
9556558,飞屋环游记（普通话版）,小男孩卡尔怀揣着对于冒险的热爱偶遇假小子艾丽，相同的爱好最终使两个人成为了一生的爱侣。他们有一个梦想，那就是有朝一日要去南美洲的仙境瀑布探险，但直到艾丽去世，这个梦想也未能实现。终于有一天，曾经专卖气球的老人卡尔居然用五颜六色的气球拽着他的房子飞上了天空，他决定要去实现他们未曾实现的梦想。令卡尔始料不及的是，门廊居然搭上了一个自称是荒野开拓者的小男孩小罗,1,1,喜剧片;动画片;剧情片;魔幻片,美国,2009,普通话,彼特·道格特;鲍勃·彼德森,乔丹·长井;克里斯托弗·普鲁默;爱德华·阿斯纳,7.4,2020-11-02 00:00:00,2021-10-31 00:00:00,"21,2,1"
